Machine;FileDate;SeqNr;LocID1;LocID2;LocID3;MsgID;Message;CheckIn;CheckOut;Speed;Gross;Net;MsgRank;MsgValueDE;Loc1ValueDE;Loc2ValueDE;Loc3ValueDE;DeltaNextMessage;Phase;Job
Machine_A;08.08.2023;0;720;0;0;8072;7.208.072;2023-08-08 00:00:17.546000+00:00;2023-08-08 00:00:17.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;1;720;0;0;8072;7.208.072;2023-08-08 00:01:16.546000+00:00;2023-08-08 00:01:16.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;2;720;0;0;8072;7.208.072;2023-08-08 00:02:15.546000+00:00;2023-08-08 00:02:15.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;3;720;0;0;8072;7.208.072;2023-08-08 00:03:14.546000+00:00;2023-08-08 00:03:14.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;4;720;0;0;8072;7.208.072;2023-08-08 00:04:13.546000+00:00;2023-08-08 00:04:13.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;5;720;0;0;8072;7.208.072;2023-08-08 00:05:12.546000+00:00;2023-08-08 00:05:12.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;6;720;0;0;8072;7.208.072;2023-08-08 00:06:11.546000+00:00;2023-08-08 00:06:11.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;7;720;0;0;8072;7.208.072;2023-08-08 00:07:10.546000+00:00;2023-08-08 00:07:10.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;8;720;0;0;8072;7.208.072;2023-08-08 00:08:09.546000+00:00;2023-08-08 00:08:09.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;9;720;0;0;8072;7.208.072;2023-08-08 00:09:08.546000+00:00;2023-08-08 00:09:08.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;10;720;0;0;8072;7.208.072;2023-08-08 00:10:07.546000+00:00;2023-08-08 00:10:07.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;11;720;0;0;8072;7.208.072;2023-08-08 00:11:06.546000+00:00;2023-08-08 00:11:06.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;12;720;0;0;8072;7.208.072;2023-08-08 00:12:05.546000+00:00;2023-08-08 00:12:05.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;13;720;0;0;8072;7.208.072;2023-08-08 00:13:04.546000+00:00;2023-08-08 00:13:04.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;14;720;0;0;8072;7.208.072;2023-08-08 00:14:03.546000+00:00;2023-08-08 00:14:03.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;15;720;0;0;8072;7.208.072;2023-08-08 00:15:02.546000+00:00;2023-08-08 00:15:02.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;16;720;0;0;8072;7.208.072;2023-08-08 00:16:01.546000+00:00;2023-08-08 00:16:01.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;17;720;0;0;8072;7.208.072;2023-08-08 00:17:00.546000+00:00;2023-08-08 00:17:00.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;18;720;0;0;8072;7.208.072;2023-08-08 00:17:59.546000+00:00;2023-08-08 00:17:59.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;19;720;0;0;8072;7.208.072;2023-08-08 00:18:58.546000+00:00;2023-08-08 00:18:58.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;20;720;0;0;8072;7.208.072;2023-08-08 00:19:57.546000+00:00;2023-08-08 00:19:57.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;21;720;0;0;8072;7.208.072;2023-08-08 00:20:56.546000+00:00;2023-08-08 00:20:56.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;22;720;0;0;8072;7.208.072;2023-08-08 00:21:55.546000+00:00;2023-08-08 00:21:55.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;23;720;0;0;8072;7.208.072;2023-08-08 00:22:54.546000+00:00;2023-08-08 00:22:54.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;24;720;0;0;8072;7.208.072;2023-08-08 00:23:53.546000+00:00;2023-08-08 00:23:53.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;25;720;0;0;8072;7.208.072;2023-08-08 00:24:52.546000+00:00;2023-08-08 00:24:52.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;26;720;0;0;8072;7.208.072;2023-08-08 00:25:51.546000+00:00;2023-08-08 00:25:51.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;27;720;0;0;8072;7.208.072;2023-08-08 00:26:50.546000+00:00;2023-08-08 00:26:50.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;28;720;0;0;8072;7.208.072;2023-08-08 00:27:49.546000+00:00;2023-08-08 00:27:49.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;29;720;0;0;8072;7.208.072;2023-08-08 00:28:48.546000+00:00;2023-08-08 00:28:48.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;30;720;0;0;8072;7.208.072;2023-08-08 00:29:47.546000+00:00;2023-08-08 00:29:47.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
Machine_A;08.08.2023;31;720;0;0;8072;7.208.072;2023-08-08 00:30:46.546000+00:00;2023-08-08 00:30:46.546000+00:00;0;143379890;143075553;99;ZÃ¤hler und Maschinengeschwindigkeit;LogfileUpdate : ;;;0 days 00:00:59;;1
